KiDS_ID,RA,DEC,Grade,Method,Recovered_known
J030526.321-333144.54,46.359671,-33.52904,C,NN,False
J030538.054-272725.63,46.408559,-27.457121,C,NN,False
J030639.812-283827.10,46.665887,-28.640862,C,NN,False
J030651.005-275901.71,46.712525,-27.983809,C,NN,False
J030802.037-281354.27,47.008491,-28.231742,C,NN,False
J030817.718-320854.76,47.073829,-32.148547,C,NN,False
J030936.116-330839.48,47.400486,-33.144302,C,NN,False
J030958.926-312216.75,47.495526,-31.371322,C,NN,False
J031129.774-260955.59,47.874059,-26.165442,C,NN,False
J031158.785-293906.32,47.994939,-29.651758,C,NN,False
J031201.885-283432.36,48.007855,-28.575657,C,NN,False
J031208.087-304906.29,48.033697,-30.818415,C,NN,False
J031209.255-304613.05,48.038565,-30.770293,C,NN,False
J031325.100-320422.80,48.354584,-32.073,C,NN,False
J031356.840-263657.97,48.486835,-26.616105,C,NN,False
J031415.274-281241.95,48.563645,-28.211653,C,NN,False
J031424.032-334859.41,48.600136,-33.816503,C,AL+NN,False
J031444.870-283415.42,48.686961,-28.570951,C,NN,False
J031455.834-303309.52,48.732642,-30.552646,C,NN,False
J031503.046-254930.68,48.762693,-25.82519,C,NN,False
J031506.813-322723.52,48.77839,-32.456534,C,NN,False
J031620.231-301737.97,49.084296,-30.293883,C,NN,False
J031717.554-254927.64,49.323142,-25.824345,C,NN,False
J031746.283-295956.15,49.442848,-29.998931,C,NN,False
J031751.931-310039.19,49.466382,-31.010887,C,AL,False
J031816.135-305843.80,49.567231,-30.978836,C,NN,False
J031903.646-293207.06,49.765194,-29.535295,C,NN,False
J031917.188-300249.41,49.821618,-30.047059,C,NN,False
J032029.322-283109.77,50.122177,-28.519382,C,NN,False
J032039.626-314340.82,50.165111,-31.728008,C,NN,False
J032140.619-335304.89,50.419248,-33.884692,C,NN,False
J032204.090-291513.99,50.517045,-29.253887,C,AL,False
J032205.470-281541.59,50.522795,-28.261555,C,NN,False
J032345.134-291621.96,50.938059,-29.272769,C,NN,False
J032401.610-312338.29,51.006712,-31.393971,C,NN,False
J032405.187-351044.93,51.021616,-35.179148,C,NN,False
J032424.823-322337.52,51.103431,-32.393756,C,NN,False
J032433.431-341427.40,51.139296,-34.240946,C,NN,False
J032525.224-274229.36,51.355102,-27.708157,C,NN,False
J032552.779-350218.89,51.469915,-35.038581,C,NN,False
J032706.873-322606.39,51.778638,-32.435109,C,NN,False
J032735.826-353450.98,51.899276,-35.58083,C,NN,False
J032804.960-331220.22,52.020668,-33.205617,C,NN,False
J032833.924-264748.33,52.14135,-26.79676,C,NN,False
J032856.022-310533.12,52.233427,-31.092536,C,NN,False
J032933.048-313225.87,52.387702,-31.54052,C,NN,False
J033008.217-265523.19,52.53424,-26.923111,C,NN,False
J033053.943-254513.79,52.724764,-25.753831,C,NN,False
J033112.712-340843.51,52.80297,-34.145422,C,NN,False
J033247.081-262058.25,53.196174,-26.349515,C,NN,False
J033333.332-302442.63,53.388884,-30.411844,C,NN,False
J033407.811-330949.52,53.53255,-33.163756,C,NN,False
J033435.925-325714.11,53.649688,-32.95392,C,NN,False
J033503.295-263757.58,53.76373,-26.632662,C,NN,False
J033514.706-261255.11,53.811276,-26.215311,C,NN,False
J033604.082-345347.32,54.01701,-34.89648,C,NN,False
J083504.129+011151.07,128.767207,1.197522,C,NN,False
J083532.740-004729.73,128.886418,-0.791593,C,NN,False
J083759.404-002532.04,129.497517,-0.425569,C,NN,False
J083800.142+014850.11,129.500592,1.813922,C,NN,False
J083804.632+012950.01,129.519302,1.497227,C,NN,False
J083907.926-012316.56,129.783029,-1.387936,C,NN,True
